query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;add_input_wall_ms;get_output_wall_ms;finish_wall_ms;blocked_wall_ms;is_blocked_wall_ms;l_input_rows;r_input_rows;input_rows;raw_input_rows;output_rows;input_bytes;raw_input_bytes;output_bytes;output_per_input_rows;output_per_input_bytes;bytes_per_input_row;bytes_per_output_row;blocked_ratio;add_input_calls;get_output_calls;finish_calls;total_drivers;peak_mem;user_mem;revocable_mem;system_mem;spilled_bytes;physical_written_bytes;build_keys;null_build_keys;probe_keys;null_probe_keys;input_avg_rows_per_call;input_var_proxy;child_count;is_leaf;is_exchange_like;is_join;child_plan
1;0;0;0;1;64;MergeOperator;0.393;0.000;0.385;0.008;9619.122;3.839;4;0;4;4;4;512;527;146560;1.000000;286.250000;128.000000;36640.000000;0.999959;0;3;1;1;149120;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;6
1;1;0;0;1;64;PartitionedOutput;0.695;0.083;0.544;0.069;0.000;0.100;4;0;4;0;4;146560;0;527;1.000000;0.003596;36640.000000;131.750000;0.000000;1;8;9;1;19904;8192;0;0;0;0;0;0;0;0;4.000000;0.000000;1;0;0;0;0
1;2;1;1;64;64;ExchangeOperator;2.132;0.000;1.700;0.432;615000.000;1.700;4;0;4;4;4;1536;1220;1536;1.000000;1.000000;384.000000;384.000000;0.999997;0;68;64;64;1536;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;12
1;3;1;1;64;64;OrderBy;6.111;0.351;2.860;2.900;0.000;2.860;4;0;4;0;4;1536;0;1280;1.000000;0.833333;384.000000;320.000000;0.000000;4;249;309;64;132416;5120;0;0;0;0;0;0;0;0;1.000000;3.000000;1;0;0;0;2
1;4;1;0;4;64;LocalMerge;1.484;0.000;1.460;0.024;38440.000;1.460;0;0;0;0;4;0;0;146496;0.000000;0.000000;0.000000;36624.000000;0.999961;0;5;4;4;147456;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;5
1;5;1;1;64;64;CallbackSink;7.117;0.287;2.680;4.150;42.950;2.680;4;0;4;0;0;1280;0;0;0.000000;0.000000;320.000000;0.000000;0.857857;4;309;373;64;0;0;0;0;0;0;0;0;0;0;1.000000;3.000000;1;0;0;0;3
1;6;1;0;4;64;PartitionedOutput;1.791;0.054;1.250;0.487;0.000;1.250;4;0;4;0;4;146496;0;527;1.000000;0.003597;36624.000000;131.750000;0.000000;1;73;77;4;19904;8192;0;0;0;0;0;0;0;0;4.000000;0.000000;1;0;0;0;4
1;7;2;1;64;64;ExchangeOperator;47.708;0.000;47.270;0.438;613200.000;47.270;256;0;256;256;256;92160;94976;92160;1.000000;1.000000;360.000000;360.000000;0.999922;0;256;64;64;3840;5760;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;16
1;8;2;1;64;64;FilterProject;25.530;1.440;16.090;8.000;0.000;16.090;256;0;256;0;256;92160;0;92160;1.000000;1.000000;360.000000;360.000000;0.000000;192;1477;1349;64;0;0;0;0;0;0;0;0;0;0;1.333333;126.222222;1;0;0;0;7
1;9;2;0;64;64;LocalExchangeSinkOperator;17.419;0.000;16.990;0.429;613800.000;16.990;256;0;256;0;256;92160;0;92160;1.000000;1.000000;360.000000;360.000000;0.999972;0;640;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;10
1;10;2;1;64;64;LocalExchangeSourceOperator;67.010;37.940;10.500;18.570;0.000;10.500;256;0;256;0;256;92160;0;92160;1.000000;1.000000;360.000000;360.000000;0.000000;192;1349;1413;64;2304;96256;0;0;0;0;0;0;0;0;1.333333;126.222222;1;0;1;0;8
1;11;2;0;64;64;Aggregation;64.770;22.570;36.790;5.410;0.000;36.790;256;0;256;0;4;92160;0;4714752;0.015625;51.158333;360.000000;1178688.000000;0.000000;256;708;768;64;1249664;0;0;0;0;0;0;0;0;0;1.000000;95.000000;1;0;0;0;9
1;12;2;0;64;64;PartitionedOutput;12.556;0.596;8.050;3.910;0.000;8.050;4;0;4;0;4;4714752;0;1220;1.000000;0.000259;1178688.000000;305.000000;0.000000;4;516;580;64;19904;32768;0;0;0;0;0;0;0;0;1.000000;0.500000;1;0;0;0;11
1;13;3;0;64;64;TableScanOperator;148200.150;0.000;148200.000;0.150;0.022;148200.000;595883119;0;595883119;600037902;595883119;71013102238;7255995118;71013102238;1.000000;1.000000;119.172871;119.172871;0.000000;0;180821;64;64;98898432;232271488;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;
1;14;3;0;64;64;FilterProject;175600.720;246.360;175200.000;154.360;0.000;175200.000;595883119;0;595883119;600037902;595883119;2944167063;7255995118;23576348984;1.000000;8.007816;4.940847;39.565392;0.000000;60252;120633;60445;64;247296;3244032;0;0;0;0;0;0;0;0;9889.847955;1476094220960.848633;1;0;0;0;13
1;15;3;0;64;64;PartialAggregation;205657.740;205200.000;295.930;161.810;0.000;295.930;595883119;0;595883119;0;256;23576348984;0;94291968;0.000000;0.003999;39.565392;368328.000000;0.000000;60252;60549;60548;64;1875968;0;0;0;0;0;0;0;0;0;9889.847955;1476094220960.848633;1;0;0;0;14
1;16;3;0;64;64;PartitionedOutput;48.390;5.020;40.680;2.690;0.000;40.680;256;0;256;0;256;94291968;0;94976;1.000000;0.001007;368328.000000;371.000000;0.000000;64;825;889;64;66048;1572864;0;0;0;0;0;0;0;0;4.000000;240.000000;1;0;0;0;15
